registration_number,credential_type,business_name,owner_name,status,expiration_date,address_line1,city,state,postal_code,county,phone,enforcement_flag,enforcement_case,enforcement_disposition,enforcement_date,enforcement_summary,entity_key,entity_name,entity_status,entity_formation_date,principal_title,notes
HIC-13VH00012300,HIC,GARDEN STATE IMPROVEMENTS LLC,SMITH JOHN,Active,2027-06-30,100 MAIN ST,TRENTON,NJ,08608,MERCER,6095550100,N,,,, ,NJ-ENT-GS-001,GARDEN STATE IMPROVEMENTS LLC,Active,2018-03-12,Managing Member,Sample HIC with high-confidence entity
HIC-13VH00045600,HIC,JERSEY SHORE RENOVATIONS INC,GARCIA MARIA,Active,2026-12-31,55 BOARDWALK AVE,ATLANTIC CITY,NJ,08401,ATLANTIC,6095550101,N,,,, ,NJ-ENT-JS-002,JERSEY SHORE RENOVATIONS INC,Active,2015-07-01,President,
HIC-13VH00078900,HIC,NORTH JERSEY BUILDERS LLC,PATEL RAJ,Active,2027-03-15,200 MARKET ST,NEWARK,NJ,07102,ESSEX,9735550102,N,,,, ,NJ-ENT-NJ-003,NORTH JERSEY BUILDERS LLC,Active,2019-11-20,Member,
HIC-13VH00111100,HIC,CAMDEN COUNTY HOME SERVICES,BROWN LEE,Inactive,2024-01-01,10 COOPER ST,CAMDEN,NJ,08102,CAMDEN,8565550103,N,,,, ,,,, ,Owner,Expired-style inactive sample — no entity row
ELE-NJ-90001,ELE,GARDEN STATE ELECTRIC LLC,JOHNSON KIM,Active,2027-08-01,77 POWER RD,EDISON,NJ,08817,MIDDLESEX,7325550104,N,,,, ,NJ-ENT-GE-004,GARDEN STATE ELECTRIC LLC,Active,2012-05-08,Managing Member,Electrical contractor sample
PLB-NJ-80022,PLB,HUDSON PLUMBING CO,LEE SAM,Active,2026-11-15,12 RIVER RD,HOBOKEN,NJ,07030,HUDSON,2015550105,N,,,, ,NJ-ENT-HP-005,HUDSON PLUMBING CO LLC,Active,2010-01-15,President,
HVAC-NJ-70033,HVAC,BERGEN AIR SYSTEMS LLC,CHEN WEI,Active,2027-01-20,400 RT 17,PARAMUS,NJ,07652,BERGEN,2015550106,N,,,, ,NJ-ENT-BA-006,BERGEN AIR SYSTEMS LLC,Active,2016-09-30,Member,
HIC-13VH00222200,HIC,MONMOUTH REMODEL GROUP LLC,DAVIS ANN,Active,2027-09-30,88 OCEAN BLVD,ASBURY PARK,NJ,07712,MONMOUTH,7325550107,Y,NJ-ENF-2024-1182,Consent order,2024-06-15,Public enforcement record linked in extract only — not a finding of guilt by this product,NJ-ENT-MR-007,MONMOUTH REMODEL GROUP LLC,Active,2017-04-22,Managing Member,Enforcement sample with factual disposition only
HIC-13VH00333300,HIC,SOMERSET HOME CRAFT LLC,WILSON TOM,Active,2026-05-31,15 MAIN ST,SOMERVILLE,NJ,08876,SOMERSET,9085550108,N,,,, ,NJ-ENT-SH-008,SOMERSET HOME CRAFT LLC,Active,2021-02-14,Member,
GEN-NJ-50044,GEN,PRINCETON AREA CONTRACTING,MILLER JO,Active,2027-04-01,1 UNIVERSITY PL,PRINCETON,NJ,08540,MERCER,6095550109,N,,,, ,NJ-ENT-PA-009,PRINCETON AREA CONTRACTING LLC,Active,2009-08-03,President,General registration sample when present
HIC-13VH00444400,HIC,SHARED PRINCIPAL REMODELS LLC,SMITH JOHN,Active,2027-12-31,50 STATE ST,TRENTON,NJ,08608,MERCER,6095550110,N,,,, ,NJ-ENT-SP-010,SHARED PRINCIPAL REMODELS LLC,Active,2024-01-10,Managing Member,Shares principal name SMITH JOHN with another sample entity — related-entity observation only
ELE-NJ-90088,ELE,COASTAL WIRE WORKS LLC,NGUYEN LAN,Active,2028-02-28,9 HARBOR BLVD,TOMS RIVER,NJ,08753,OCEAN,7325550111,N,,,, ,NJ-ENT-CW-011,COASTAL WIRE WORKS LLC,Active,2014-06-18,Member,
